43243,똥땅똥땅-하다,동사,여러 가지 악기나 단단한 물건 따위를 잇따라 조금 세게 쳐서 울리는 소리가 나다. 또는 그런 소리를 내다.,비슷한말 똥땅-거리다
43414,똥질-하다,동사,설사나 이질 따위로 똥을 자주 누다.,
43539,뙤다,동사,실로 짠 물건의 코나 바느질한 자리의 올 따위가 끊어지다.,
43564,뙤뙤-거리다,동사,말을 잇따라 더듬다.,비슷한말 뙤뙤-대다
43565,뙤뙤-대다,동사,말을 잇따라 더듬다.,비슷한말 뙤뙤-거리다
43837,뚜드럭-거리다,동사,크고 단단한 물건을 가락에 맞추어 두드리는 소리를 자꾸 내다.,"비슷한말 뚜드럭-대다, 뚜드럭뚜드럭-하다
참고 어휘 또드락-거리다, 투드럭-거리다"
43838,뚜드럭-대다,동사,크고 단단한 물건을 가락에 맞추어 두드리는 소리를 자꾸 내다.,비슷한말 뚜드럭-거리다
43840,뚜드럭뚜드럭-하다,동사,크고 단단한 물건을 가락에 맞추어 두드리는 소리를 내다.,비슷한말 뚜드럭-거리다
43841,뚜드럭-이다,동사,크고 단단한 물건을 가락에 맞추어 두드리는 소리를 내다.,
43844,뚜드려-내다,동사,"끌, 대패 따위의 날을 갈기 위하여 날의 안쪽을 망치로 뚜드려서 우묵하게 하다.",
43886,뚜렛뚜렛-하다,동사,어리둥절하여 눈을 이리저리 굴리다.,
43955,뚜벅-거리다,동사,발소리를 뚜렷이 내며 걸어가는 소리가 잇따라 나다.,"비슷한말 뚜벅-대다, 뚜벅뚜벅-하다
참고 어휘 또박-거리다"
43956,뚜벅-대다,동사,발소리를 뚜렷이 내며 걸어가는 소리가 잇따라 나다.,비슷한말 뚜벅-거리다
43959,뚜벅뚜벅-하다,동사,발소리를 뚜렷이 내며 잇따라 걸어가는 소리가 나다.,비슷한말 뚜벅-거리다
43961,뚜벅-이다,동사,발소리를 뚜렷이 내며 걸어가는 소리가 나다.,
43997,뚜지다,동사,파서 뒤집다.,
44030,뚝딱-거리다,동사,갑자기 놀라거나 겁이 나서 가슴이 계속 뛰다.,"비슷한말 뚝딱-대다, 뚝딱뚝딱-하다"
44032,뚝딱-대다,동사,갑자기 놀라거나 겁이 나서 가슴이 계속 뛰다.,비슷한말 뚝딱-거리다
44037,뚝딱뚝딱-하다,동사,갑자기 놀라거나 겁이 나서 계속 가슴이 뛰다.,비슷한말 뚝딱-거리다
44041,뚝딱-이다,동사,갑자기 놀라거나 겁이 나서 가슴이 뛰다.,
44044,뚝딱-하다,동사,조금 가볍게 단단한 물건을 두드리는 소리가 나다. 또는 그런 소리를 내다.,
44184,뚫다,동사,구멍을 내다.,
44201,뚫어-뜨리다,동사,힘을 들여 구멍을 내다.,비슷한말 뚫어-트리다
44208,뚫어-맞히다,동사,아주 정확하게 알아맞히다.,
44210,뚫어-새기다,동사,아주 내뚫어 구멍이 통하게 새기다.,
44211,뚫어-지다,동사,구멍이나 틈이 생기다.,
44216,뚫어-트리다,동사,힘을 들여 구멍을 내다.,비슷한말 뚫어-뜨리다
44290,뚱기다,동사,팽팽한 줄 따위를 퉁기어 움직이게 하다.,
44299,뚱기-치다,동사,몸 따위를 세차게 움직이다.,
44329,뚱땅-거리다,동사,여러 가지 악기나 단단한 물건 따위를 세게 쳐서 울리는 소리가 잇따라 나다. 또는 그런 소리를 잇따라 내다.,"비슷한말 뚱땅-대다, 뚱땅뚱땅-하다"
44330,뚱땅-대다,동사,여러 가지 악기나 단단한 물건 따위를 세게 쳐서 울리는 소리가 잇따라 나다. 또는 그런 소리를 잇따라 내다.,비슷한말 뚱땅-거리다
44332,뚱땅뚱땅-하다,동사,여러 가지 악기나 단단한 물건 따위를 잇따라 세게 쳐서 울리는 소리가 나다. 또는 그런 소리를 내다.,비슷한말 뚱땅-거리다
44416,뛰-놀다,동사,이리저리 뛰어다니며 놀다.,비슷한말 뛰어-놀다
44421,뛰다,동사,있던 자리로부터 몸을 높이 솟구쳐 오르다.,"참고 어휘 튀다, 튀다, 튀다, 튀다, 튀다"
44464,뛰뛰-거리다,동사,나팔을 부는 소리가 잇따라 나다. 또는 그런 소리를 잇따라 내다.,비슷한말 뛰뛰-대다
44467,뛰뛰-대다,동사,나팔을 부는 소리가 잇따라 나다. 또는 그런 소리를 잇따라 내다.,비슷한말 뛰뛰-거리다
44501,뛰어-가다,동사,달음박질로 빨리 가다.,
44503,뛰어-나가다,동사,빨리 달려서 밖으로 나가다.,
44506,뛰어-나오다,동사,빨리 달려서 밖으로 나오다.,
44508,뛰어-내리다,동사,높은 데서 아래로 몸을 던져 내려오다.,
44516,뛰어-넘다,동사,몸을 솟구쳐서 높거나 넓은 물건이나 장소를 넘다.,비슷한말 넘어-뛰다
44521,뛰어-놀다,동사,이리저리 뛰어다니며 놀다.,비슷한말 뛰-놀다
44524,뛰어-다니다,동사,어떤 공간 안에서 여기저기로 뛰면서 돌아다니다.,
44535,뛰어-들다,동사,높은 데에서 물속으로 몸을 던지다.,
44547,뛰어-오다,동사,달음박질로 빨리 오다.,
44549,뛰어-오르다,동사,몸을 날리어 높은 곳으로 단숨에 오르다.,
44592,뛰쳐-나가다,동사,힘 있게 밖으로 뛰어나가다.,
44594,뛰쳐-나오다,동사,힘 있게 밖으로 뛰어나오다.,
44616,뜀-들다,동사,성난 얼굴로 서로 덤벼들어 말다툼하다.,
44621,뜀-뛰다,동사,두 발을 모아 몸을 솟구쳐 앞으로 나아가거나 높은 곳으로 오르다.,
44627,뜀박질-하다,동사,뜀을 뛰다.,비슷한말 뜀질-하다
44637,뜀질-하다,동사,뜀을 뛰다.,비슷한말 뜀박질-하다
44673,뜨개질-하다,동사,옷이나 장갑 따위를 실이나 털실로 떠서 만들다.,
44695,뜨거워-지다,동사,손이나 몸에 상당한 자극을 느낄 정도로 온도가 높아지다.,
44699,뜨거워-하다,동사,손이나 몸에 상당한 자극을 느낄 정도로 온도가 높음을 느끼다. 또는 그러한 기색을 나타내다.,
44746,뜨끔-거리다,동사,갑자기 불에 닿은 것처럼 뜨거운 느낌이 자꾸 들다.,"비슷한말 뜨끔-대다, 뜨끔뜨끔-하다"
44749,뜨끔-대다,동사,갑자기 불에 닿은 것처럼 뜨거운 느낌이 자꾸 들다.,비슷한말 뜨끔-거리다
44753,뜨끔따끔-하다,동사,바늘이나 침 따위로 인하여 순간적인 충격이나 아픔이 반복되는 느낌이 들다.,
44757,뜨끔뜨끔-하다,동사,갑자기 불에 닿은 것처럼 몹시 뜨거운 느낌이 들다.,비슷한말 뜨끔-거리다
44780,뜨내기살이-하다,동사,일정한 거처가 없이 떠돌아다니며 살아가다.,
44784,뜨내기장사-하다,동사,늘 하지 않고 어쩌다 한번 장사하다.,
44792,뜨다,동사,물속이나 지면 따위에서 가라앉거나 내려앉지 않고 물 위나 공중에 있거나 위쪽으로 솟아오르다.,
44841,뜨더귀-하다,동사,조각조각으로 뜯어내거나 가리가리 찢어 내는 짓을 하다.,
44850,뜨덤뜨덤-하다,동사,글을 서투르게 자꾸 읽다.,
45062,뜨-이다,동사,눈에 보이다.,준말 띄다
45077,뜨임-하다,동사,담금질한 강철을 알맞은 온도로 다시 가열하였다가 공기 중에서 식혀 조직을 무르게 하여 내부 응력을 없애다. 담금질한 강철이 사용 중에 변형되거나 갈라지는 것을 막기 위하여 한다.,
45193,뜬벌이-하다,동사,고정된 일자리가 아닌 어쩌다 생긴 일자리에서 닥치는 대로 일을 하고 돈 따위를 벌다.,
45249,뜯게질-하다,동사,해지고 낡아서 입지 못하게 된 옷이나 빨래할 옷의 솔기를 뜯어내다.,
45254,뜯-기다,동사,털 따위가 뽑히다.,
45268,뜯다,동사,붙거나 닫힌 것을 떼거나 찢거나 하다.,
45278,뜯어-고치다,동사,잘못되거나 나쁜 점을 새롭게 고치다.,
45281,뜯어-내다,동사,붙어 있는 것을 떼어 내다.,
45285,뜯어-말리다,동사,마주 붙어 싸우는 것을 떼어서 못 하게 말리다.,
45290,뜯어-먹다,동사,남의 재물 따위를 졸라서 얻거나 억지로 빼앗아 가지다.,
45292,뜯어-벌이다,동사,어떠한 것을 뜯어내어 죽 벌여 놓다.,
45294,뜯어-보다,동사,붙여 놓은 것을 헤치고 그 속을 살피다.,
45297,뜯어-읽다,동사,글을 서투르게 떠듬거리며 읽다.,
45306,뜯이-하다,동사,헌 옷을 빨아서 뜯어 새로 만들다.,
45309,뜯적-거리다,동사,손톱이나 칼끝 따위로 자꾸 뜯거나 진집을 내다.,"비슷한말 뜯적-대다, 뜯적뜯적-하다
참고 어휘 따짝-거리다"
45312,뜯적-대다,동사,손톱이나 칼끝 따위로 자꾸 뜯거나 진집을 내다.,비슷한말 뜯적-거리다
45316,뜯적뜯적-하다,동사,자꾸 손톱이나 칼끝 따위로 뜯거나 진집을 내다.,비슷한말 뜯적-거리다
45318,뜯적-이다,동사,손톱이나 칼끝 따위로 뜯거나 진집을 내다.,
45503,뜸-뜨다,동사,결코 못지않다. 또는 비견할 만하다.,
45523,뜸베질-하다,동사,소가 뿔로 물건을 닥치는 대로 들이받는 짓을 하다.,
45584,뜸질-하다,동사,뜸을 뜨다.,
45614,뜻매김-하다,동사,어떤 말이나 사물의 뜻을 명백히 밝혀 규정하다.,"비슷한말 계설-하다(界說하다), 정의-하다(定義하다)"
45640,뜻풀이-되다,동사,글의 뜻이 풀이되다.,
45642,뜻풀이-하다,동사,글의 뜻을 풀이하다.,비슷한말 의석-하다(義釋하다)
45643,뜻-하다,동사,무엇을 할 마음을 먹다.,
45675,띄어쓰기-하다,동사,"글을 쓸 때, 어문 규범에 따라 어떤 말을 앞말과 띄어 쓰다.",반대말 붙여쓰기-하다
45695,띄우다,동사,편지나 소포 따위를 부치거나 전하여 줄 사람을 보내다.,
45860,띠다,동사,띠나 끈 따위를 두르다.,
46002,띠씨름-하다,동사,샅바 대신 허리띠를 잡고 씨름하다.,
46017,띠어-보다,동사,눈에 슬쩍 뜨이는 잠깐 동안 여겨보다.,
,어휘,품사,뜻풀이,관련 어휘
625,기우뚱-거리다,동사,물체가 자꾸 이쪽저쪽으로 기울어지며 흔들리다. 또는 그렇게 하다.,"비슷한말 기우뚱-대다, 기우뚱기우뚱-하다
참고 어휘 끼우뚱-거리다"
627,기우뚱기우뚱-하다,동사,물체가 이쪽저쪽으로 자꾸 기울어지며 흔들리다. 또는 그렇게 하다.,"비슷한말 기우뚱-거리다, 기우뚱-대다"
629,기우뚱-대다,동사,물체가 자꾸 이쪽저쪽으로 기울어지며 흔들리다. 또는 그렇게 하다.,"비슷한말 기우뚱-거리다, 기우뚱기우뚱-하다
참고 어휘 끼우뚱-대다"
630,기우뚱-하다,동사,물체가 한쪽으로 약간 기울어지다. 또는 그렇게 하다.,
734,기울다,동사,비스듬하게 한쪽이 낮아지거나 비뚤어지다.,"참고 어휘 갸울다, 갸울다, 끼울다"
757,기울어-뜨리다,동사,기울어지게 하다.,"비슷한말 기울어-트리다
참고 어휘 갸울어-뜨리다, 끼울어-뜨리다"
758,기울어-지다,동사,비스듬하게 한쪽이 낮아지거나 비뚤어지게 되다.,"참고 어휘 갸울어-지다, 끼울어-지다"
766,기울어-트리다,동사,기울어지게 하다.,"비슷한말 기울어-뜨리다
참고 어휘 갸울어-트리다, 끼울어-트리다"
770,기울-이다,동사,정성이나 노력 따위를 한곳으로 모으다.,
782,기움질-하다,동사,옷 따위의 해어진 곳에 조각을 대어 깁다.,
785,기웃-거리다,동사,무엇을 보려고 고개나 몸 따위를 이쪽저쪽으로 자꾸 기울이다.,"비슷한말 기웃-대다, 기웃기웃-하다
참고 어휘 끼웃-거리다"
789,기웃기웃-하다,동사,무엇을 보려고 고개나 몸 따위를 이쪽저쪽으로 조금씩 자꾸 기울이다.,"비슷한말 기웃-거리다, 기웃-대다
참고 어휘 끼웃끼웃-하다"
792,기웃-대다,동사,무엇을 보려고 고개나 몸 따위를 이쪽저쪽으로 자꾸 기울이다.,"비슷한말 기웃-거리다, 기웃기웃-하다"
798,기웃-하다,동사,무엇을 보려고 고개나 몸 따위를 한쪽으로 조금 기울이다.,
929,기이다,동사,어떤 일을 숨기고 바른대로 말하지 않다.,준말 기다
1994,기지개-하다,동사,피곤할 때에 몸을 쭉 펴고 팔다리를 뻗다.,
2767,기침-하다,동사,"기도의 점막이 자극을 받아 갑자기 숨소리를 터트려 내다. 목감기의 주된 증상 가운데 하나로, 마른기침을 하는 경우와 젖은기침을 하는 경우 두 가지가 있다.",
3950,긴가민가-하다,동사,그런지 그렇지 않은지 분명하게 알지 못하다.,"본말 기연가미연가-하다(其然가未然가하다)
비슷한말 기연미연-하다(其然未然하다)"
4239,긴뜨기-하다,동사,"뜨개질에서, 바늘로 실을 한 번 감아 한꺼번에 빼서 뜨다.",
4250,긴말-하다,동사,길게 말을 늘어놓다.,
4364,긴소리-하다,동사,‘긴말하다’의 낮춤말.,
4654,긷다,동사,우물이나 샘 따위에서 두레박이나 바가지 따위로 물을 떠내다.,
4811,길-나다,동사,버릇이나 습관이 되어 익숙해지다.,
4833,길다,동사,"머리카락, 수염 따위가 자라다.",
4853,길닦이-하다,동사,길을 고쳐 닦다.,비슷한말 치도-하다(治道하다)
4873,길동무-하다,동사,동무가 되어 함께 길을 가다. 또는 동무로 삼아 함께 길을 가다.,
4890,길-들다,동사,어떤 일에 익숙하게 되다.,
4891,길들-이다,동사,어떤 일에 익숙하게 하다.,
4967,길막-하다,동사,사람이나 차량 따위가 지나가지 못하게 길을 막다.,
5116,길쌈-하다,동사,실을 내어 옷감을 짜다.,
5145,길어-지다,동사,길게 되다.,
5332,길채비-하다,동사,여행이나 먼 길 떠날 준비를 하다.,
5604,김-매다,동사,논밭의 잡풀을 뽑아내다.,
5676,김-빠지다,동사,음료 따위의 본래 맛이나 향이 없어져서 맛없게 되다.,
5720,김-새다,동사,(속되게) 흥이 깨지거나 맥이 빠져 싱겁게 되다.,
5997,김장-하다,동사,겨우내 먹기 위하여 김치를 한꺼번에 많이 담그다.,비슷한말 진장-하다(陳藏하다)
6408,깁다,동사,떨어지거나 해어진 곳에 다른 조각을 대거나 또는 그대로 꿰매다.,
6480,깃갈이-하다,동사,날짐승의 묵은 깃이 빠지고 새 깃이 나다.,
6520,깃다,동사,논밭에 잡풀이 많이 나다.,
6544,깃-들다,동사,아늑하게 서려 들다.,
6546,깃-들이다,동사,주로 조류가 보금자리를 만들어 그 속에 들어 살다.,
6712,깊어-지다,동사,"겉에서 속, 또는 밑에서 위까지의 길이가 길게 되다.",
6817,깊이갈이-하다,동사,땅을 깊이 갈다.,비슷한말 심경-하다(深耕하다)
6949,까뀌질-하다,동사,나무 따위를 까뀌로 깎다.,
6975,까끌-거리다,동사,표면이 거칠고 까끌한 느낌이 자꾸 나다.,
7001,까-놓다,동사,마음속의 생각이나 비밀을 숨김없이 털어놓다.,
7005,까다,동사,껍질 따위를 벗기다.,
7043,까닥-거리다,동사,고개 따위를 아래위로 가볍게 자꾸 움직이다.,"비슷한말 까닥-대다, 까닥까닥-하다
참고 어휘 까딱-거리다, 끄덕-거리다"
7049,까닥까닥-하다,동사,고개 따위를 자꾸 아래위로 가볍게 움직이다.,"비슷한말 까닥-거리다, 까닥-대다"
7053,까닥-대다,동사,고개 따위를 아래위로 가볍게 자꾸 움직이다.,"비슷한말 까닥-거리다, 까닥까닥-하다
참고 어휘 까딱-대다, 끄덕-대다"
7060,까닥-이다,동사,고개 따위를 아래위로 가볍게 움직이다.,
7063,까닥-하다,동사,고개 따위를 아래위로 가볍게 한 번 움직이다.,
7095,까-뒤집다,동사,벗겨 뒤집다.,"비슷한말 까-붙이다, 까-집다"
7153,까딱-거리다,동사,작은 물체가 이리저리 조금씩 쏠리어 자꾸 움직이다.,"비슷한말 까딱-대다, 까딱까딱-하다"
7159,까딱까딱-하다,동사,작은 물체가 조금씩 이리저리 쏠리어 자꾸 움직이다.,비슷한말 까딱-거리다
7164,까딱-대다,동사,작은 물체가 이리저리 조금씩 쏠리어 자꾸 움직이다.,비슷한말 까딱-거리다
7174,까딱-이다,동사,작은 물체가 이리저리 조금씩 쏠리어 움직이다.,
7242,까라-지다,동사,기운이 빠져 축 늘어지다.,
7300,까르락-거리다,동사,자지러지게 깔깔대며 잇따라 웃는 소리를 내다.,"비슷한말 까르락-대다, 까르락까르락-하다"
7302,까르락까르락-하다,동사,매우 자지러지게 깔깔대며 웃는 소리를 내다.,"비슷한말 까르락-거리다, 까르락-대다"
7303,까르락-대다,동사,자지러지게 깔깔대며 잇따라 웃는 소리를 내다.,"비슷한말 까르락-거리다, 까르락까르락-하다"
7304,까르락-하다,동사,자지러지게 깔깔 웃는 소리가 나다.,
7307,까르르-거리다,동사,한꺼번에 자지러지게 잇따라 웃다. 주로 여자나 아이들이 웃는 것을 이른다. ≒까르르대다.,"비슷한말 까르르-대다, 까르르까르르-하다"
7311,까르르까르르-하다,동사,한꺼번에 자지러지게 자꾸 웃다. 주로 여자나 아이들이 웃는 것을 이른다.,비슷한말 까르르-거리다
7313,까르르-대다,동사,한꺼번에 자지러지게 잇따라 웃다. 주로 여자나 아이들이 웃는 것을 이른다.,비슷한말 까르르-거리다
7315,까르르-하다,동사,한꺼번에 자지러지게 웃다. 주로 여자나 아이들이 웃는 것을 이른다.,
7319,까르륵-거리다,동사,젖먹이가 몹시 자지러지게 잇따라 울다.,"비슷한말 까르륵-대다, 까르륵까르륵-하다"
7323,까르륵까르륵-하다,동사,젖먹이가 몹시 자지러지게 자꾸 울다.,비슷한말 까르륵-거리다
7325,까르륵-대다,동사,젖먹이가 몹시 자지러지게 잇따라 울다.,비슷한말 까르륵-거리다
7327,까르륵-하다,동사,젖먹이가 몹시 자지러지게 울다.,
7502,까막-거리다,동사,작고 희미한 불빛 따위가 자꾸 꺼질 듯 말 듯 하다.,"비슷한말 까막-대다, 까막까막-하다
참고 어휘 끄먹-거리다"
7511,까막까막-하다,동사,작고 희미한 불빛 따위가 잇따라 꺼질 듯 말 듯 하다.,비슷한말 까막-거리다
7529,까막-대다,동사,작고 희미한 불빛 따위가 자꾸 꺼질 듯 말 듯 하다.,비슷한말 까막-거리다
7555,까막잡기-하다,동사,술래가 수건 따위로 눈을 가리고 다른 사람을 잡는 놀이를 하다. 잡힌 사람이 그다음 술래가 된다.,
7590,까매-지다,동사,까맣게 되다.,"반대말 하얘-지다
참고 어휘 가매-지다, 꺼메-지다"
7594,까-먹다,동사,껍질이나 껍데기 따위에 싸여 있는 것을 내어 먹다.,
7632,까무러-뜨리다,동사,까무러치게 하다.,비슷한말 까무러-트리다
7636,까무러-트리다,동사,까무러치게 하다.,비슷한말 까무러-뜨리다
7722,까-뭉개다,동사,높은 데를 파서 깎아 내리다.,
7746,까-바치다,동사,비밀 따위를 속속들이 들추어내어 일러바치다.,
7767,까-발리다,동사,껍데기를 벌려 젖히고 속의 것을 드러나게 하다.,
7771,까-밝히다,동사,드러내어 밝히다.,비슷한말 폭로-하다(暴露하다)
7798,까부라-뜨리다,동사,까부라지게 하다.,참고 어휘 꺼부러-뜨리다
7799,까부라-지다,동사,높이나 부피 따위가 점점 줄어지다.,참고 어휘 꺼부러-지다
7816,까부르다,동사,키를 위아래로 흔들어 곡식의 티나 검불 따위를 날려 버리다.,준말 까불다
7824,까-부수다,동사,치거나 때리거나 하여 부수다.,
7843,까불-거리다,동사,경솔하게 자꾸 까불다.,"비슷한말 까불-대다, 까불까불-하다"
7848,까불까불-하다,동사,자꾸 경솔하게 까불다.,"비슷한말 까불-거리다, 까불-대다"
7850,까불다,동사,위아래로 흔들리다. 또는 그렇게 하다.,참고 어휘 꺼불다
7858,까불-대다,동사,경솔하게 자꾸 까불다.,"비슷한말 까불-거리다, 까불까불-하다"
7880,까불리다,동사,재물 따위를 함부로 써 버리다.,
7899,까붐질-하다,동사,키를 위아래로 흔들어 곡식의 검불 따위를 날려 버리다.,비슷한말 키질-하다
7900,까-붙이다,동사,완전히 벗겨 드러내다.,"비슷한말 까-뒤집다, 까-집다"
7927,까세다,동사,세차게 치다.,
7938,까스러-지다,동사,잔털 따위가 거칠게 일어나다.,
7941,까스르다,동사,얼굴이 햇볕에 그을리다.,
7948,까슬-거리다,동사,몹시 거칠고 빳빳한 느낌이 자꾸 들다.,비슷한말 까슬-대다
7953,까슬-대다,동사,몹시 거칠고 빳빳한 느낌이 자꾸 들다.,비슷한말 까슬-거리다
8071,까옥-거리다,동사,까마귀가 우는 소리가 잇따라 나다.,"비슷한말 까옥-대다, 까옥까옥-하다"
8073,까옥까옥-하다,동사,까마귀가 잇따라 우는 소리가 나다.,비슷한말 까옥-거리다
8074,까옥-대다,동사,까마귀가 우는 소리가 잇따라 나다.,비슷한말 까옥-거리다
8075,까옥-하다,동사,까마귀가 우는 소리가 나다.,
8076,까-올리다,동사,재산이나 돈 따위를 모조리 써 없애다.,
8162,까-지다,동사,껍질 따위가 벗겨지다.,
8170,까-지르다,동사,주책없이 쏘다니다.,참고 어휘 끄-지르다
8207,까-집다,동사,거죽을 까서 속에 있는 것이 드러나게 하다.,"비슷한말 까-뒤집다, 까-붙이다"
8251,까치걸음-하다,동사,두 발을 모아서 종종걸음으로 뛰다.,
8334,까치설빔-하다,동사,까치설빔에 맞는 옷차림을 하다.,
8453,까풀-지다,동사,껍질이나 껍데기가 여러 겹으로 층을 이루다.,비슷한말 꺼풀-지다
8480,깍깍-거리다,동사,까마귀나 까치 따위가 우는 소리가 자꾸 나다.,"비슷한말 깍깍-대다, 깍깍-하다"
8481,깍깍-대다,동사,까마귀나 까치 따위가 우는 소리가 자꾸 나다.,비슷한말 깍깍-거리다
8483,깍깍-하다,동사,까마귀나 까치 따위가 자꾸 우는 소리가 나다.,비슷한말 깍깍-거리다
8540,깍둑-거리다,동사,조금 단단한 물건을 대중없이 자꾸 썰다.,"비슷한말 깍둑-대다, 깍둑깍둑-하다
참고 어휘 꺽둑-거리다"
8542,깍둑깍둑-하다,동사,조금 단단한 물건을 자꾸 대중없이 썰다.,비슷한말 깍둑-거리다
8543,깍둑-대다,동사,조금 단단한 물건을 대중없이 자꾸 썰다.,비슷한말 깍둑-거리다
8545,깍둑-썰다,동사,음식 재료 따위를 깍두기처럼 네모반듯한 모양으로 썰다.,
8598,깍쟁이질-하다,동사,이기적이고 인색한 사람처럼 행동하다.,
8626,깍지걸이-하다,동사,양손의 손가락을 서로 어긋나게 바짝 끼다.,
8665,깍-하다,동사,까마귀나 까치 따위가 우는 소리가 나다.,
8678,깎다,동사,칼 따위로 물건의 거죽이나 표면을 얇게 벗겨 내다.,
8689,깎아-내리다,동사,인격이나 권위 따위를 헐뜯어서 떨어지게 하다.,
8713,깎음질-하다,동사,나무 따위를 깎아 다듬다.,
8788,깐-보다,동사,어떤 형편이나 기회에 대하여 마음속으로 가늠하다. 또는 속을 떠보다.,
8805,깐작-거리다,동사,끈끈하여 자꾸 착착 달라붙다.,"비슷한말 깐작-대다, 깐작깐작-하다
참고 어휘 끈적-거리다"
8809,깐작깐작-하다,동사,끈끈하여 착착 자꾸 달라붙다.,비슷한말 깐작-거리다
8813,깐작-대다,동사,끈끈하여 자꾸 착착 달라붙다.,비슷한말 깐작-거리다
8815,깐작-이다,동사,끈끈하여 착착 달라붙다.,
8822,깐족-거리다,동사,쓸데없는 소리를 밉살스럽고 짓궂게 달라붙어 계속 지껄이다.,"비슷한말 깐족-대다, 깐족깐족-하다
참고 어휘 깐죽-거리다"
8824,깐족깐족-하다,동사,쓸데없는 소리를 짓궂고 밉살스럽게 달라붙어 계속 지껄이다.,비슷한말 깐족-거리다
8826,깐족-대다,동사,쓸데없는 소리를 밉살스럽고 짓궂게 달라붙어 계속 지껄이다.,비슷한말 깐족-거리다
8827,깐족-이다,동사,쓸데없는 소리를 밉살스럽고 짓궂게 달라붙어 지껄이다.,
8834,깐죽-거리다,동사,쓸데없는 소리를 밉살스럽고 짓궂게 들러붙어 계속 지껄이다.,"비슷한말 깐죽-대다, 깐죽깐죽-하다
참고 어휘 깐족-거리다"
8838,깐죽깐죽-하다,동사,쓸데없는 소리를 짓궂고 밉살스럽게 들러붙어 계속 지껄이다.,비슷한말 깐죽-거리다
8842,깐죽-대다,동사,쓸데없는 소리를 밉살스럽고 짓궂게 들러붙어 계속 지껄이다.,비슷한말 깐죽-거리다
8845,깐죽-이다,동사,쓸데없는 소리를 밉살스럽고 짓궂게 들러붙어 지껄이다.,
8951,깔기다,동사,알 따위를 아무 데나 함부로 낳다.,
8969,깔깔-거리다,동사,되바라진 목소리로 못 참을 듯이 계속 웃다.,"비슷한말 깔깔-대다
참고 어휘 껄껄-거리다"
8971,깔깔-대다,동사,되바라진 목소리로 못 참을 듯이 계속 웃다.,"비슷한말 깔깔-거리다
참고 어휘 껄껄-대다"
8978,깔깔-하다,동사,되바라진 목소리로 못 참을 듯이 웃는 소리가 나다.,
9024,깔끔-거리다,동사,빳빳한 털 따위가 살에 닿아 자꾸 따끔거리다.,"비슷한말 깔끔-대다, 깔끔깔끔-하다
참고 어휘 껄끔-거리다"
9026,깔끔깔끔-하다,동사,빳빳한 털 따위가 자꾸 살에 닿아 따끔거리다.,비슷한말 깔끔-거리다
9029,깔끔-대다,동사,빳빳한 털 따위가 살에 닿아 자꾸 따끔거리다.,비슷한말 깔끔-거리다
9030,깔끔-떨다,동사,사람 또는 물체의 생김새 따위를 지나치게 깨끗하게 하려고 하다.,
9053,깔다,동사,바닥에 펴 놓다.,
9098,깔딱-거리다,동사,목구멍으로 물 따위를 힘겹게 조금씩 삼키는 소리가 자꾸 나다.,"비슷한말 깔딱-대다, 깔딱깔딱-하다"
9108,깔딱깔딱-하다,동사,목구멍으로 물 따위를 힘겹게 조금씩 자꾸 삼키는 소리가 나다.,비슷한말 깔딱-거리다
9112,깔딱-대다,동사,목구멍으로 물 따위를 힘겹게 조금씩 삼키는 소리가 자꾸 나다.,비슷한말 깔딱-거리다
9117,깔딱-이다,동사,목구멍으로 물 따위를 힘겹게 조금씩 삼키는 소리가 나다.,
9123,깔딱-하다,동사,목구멍으로 물 따위를 힘겹게 조금 삼키는 소리가 나다.,
9195,깔-뜨다,동사,눈을 아래쪽으로 내리뜨다.,
9223,깔-리다,동사,널리 퍼져 있다. 또는 많이 퍼져 있다.,
9245,깔-묻히다,동사,무엇에 깔리거나 덮여 보이지 않게 되다.,
9266,깔-보다,동사,얕잡아 보다.,
9288,깔아-뭉개다,동사,무엇을 밑에 두고 세게 짓이겨질 정도로 누르다.,
9329,깔짝-거리다,동사,매우 얇고 빳빳한 물체의 바닥이 앞뒤로 되풀이하여 가볍게 뒤집히는 소리가 자꾸 나다.,"비슷한말 깔짝-대다, 깔짝깔짝-하다"
9337,깔짝깔짝-하다,동사,매우 얇고 빳빳한 물체의 바닥이 앞뒤로 되풀이하여 가볍게 자꾸 뒤집히는 소리가 나다.,비슷한말 깔짝-거리다
9340,깔짝-대다,동사,매우 얇고 빳빳한 물체의 바닥이 앞뒤로 되풀이하여 가볍게 뒤집히는 소리가 자꾸 나다.,비슷한말 깔짝-거리다
9343,깔짝-이다,동사,갉아서 뜯거나 진집을 내다.,
9350,깔쭉-거리다,동사,거칠고 깔끄럽게 따끔거리다.,"비슷한말 깔쭉-대다, 깔쭉깔쭉-하다
참고 어휘 껄쭉-거리다"
9353,깔쭉깔쭉-하다,동사,깔끄럽고 거칠게 따끔거리다.,비슷한말 깔쭉-거리다
9356,깔쭉-대다,동사,거칠고 깔끄럽게 따끔거리다.,비슷한말 깔쭉-거리다
9457,깜놀-하다,동사,"재미있게 말할 때, ‘깜짝 놀라다’의 뜻으로 쓰는 말.",
9502,깜박-거리다,동사,기억이나 의식 따위가 자꾸 잠깐씩 흐려지다.,"비슷한말 깜박-대다, 깜박깜박-하다
참고 어휘 깜빡-거리다"
