47968,좆-같다,형용사,(비속하게) 사물이 몹시 마음에 안 들거나 보기에 싫다.,
47997,좋다,형용사,대상의 성질이나 내용 따위가 보통 이상의 수준이어서 만족할 만하다.,반대말 나쁘다
48259,좌-뜨다,형용사,생각이 남보다 뛰어나다.,
,어휘,품사,뜻풀이,관련 어휘
5352,월커덕-하다,형용사,성미가 급작스럽고 급하다.,"준말 월컥-하다
참고 어휘 왈카닥-하다"
6141,웬만-하다,형용사,정도나 형편이 표준에 가깝거나 그보다 약간 낫다.,"본말 우연만-하다
참고 어휘 어연간-하다"
7075,위룽튀룽-하다,형용사,분위기나 형세 따위가 불안정하다.,
8382,위-없다,형용사,그 위를 넘는 것이 없을 정도로 가장 높고 좋다.,
11439,유난-스럽다,형용사,언행이나 상태가 보통과 달리 특별한 데가 있다.,
11442,유난-하다,형용사,언행이나 상태가 보통과 아주 다르다. 또는 언행이 두드러지게 남과 달라 예측할 수 없는 데가 있다.,
12527,유들유들-하다,형용사,부끄러운 줄도 모르고 뻔뻔한 데가 있다.,
12529,유들-지다,형용사,윤이 나고 부드럽고 살지다.,
15161,유세-하다,형용사,세금이 있다.,반대말 무세-하다(無稅하다)
18072,유착-스럽다,형용사,몹시 투박하고 큰 데가 있다.,
18083,유착-하다,형용사,몹시 투박하고 크다.,
18256,유체-스럽다,형용사,젠체하고 진중한 체하며 말이나 행실 따위가 온화한 데가 없다.,
23113,으늑-하다,형용사,푸근하게 감싸인 듯 편안하고 조용한 느낌이 있다.,참고 어휘 아늑-하다
23499,으리으리-하다,형용사,모양이나 규모가 압도될 만큼 굉장하다.,
23606,으스레-하다,형용사,조금 침침하고 흐릿하다.,
23615,으스름-하다,형용사,빛 따위가 침침하고 흐릿하다.,
23620,으스스-하다,형용사,차거나 싫은 것이 몸에 닿았을 때 크게 소름이 돋는 느낌이 있다.,
23629,으슥-하다,형용사,무서움을 느낄 만큼 깊숙하고 후미지다.,
23650,으슬으슬-하다,형용사,소름이 끼칠 정도로 매우 차가운 느낌이 잇따라 드는 듯하다.,
23652,으슴푸레-하다,형용사,달빛이나 불빛 따위가 침침하고 흐릿하다.,
23732,으쓱으쓱-하다,형용사,갑자기 무섭거나 차가움을 느낄 때 몸이 크게 움츠러드는 데가 있다.,
23737,으쓱-하다,형용사,갑자기 무섭거나 차가움을 느낄 때 몸이 크게 움츠러드는 데가 있다.,
25458,을모-지다,형용사,책상의 귀처럼 세모지다.,
25529,을씨년-스럽다,형용사,보기에 날씨나 분위기 따위가 몹시 스산하고 쓸쓸한 데가 있다.,
27444,음전-하다,형용사,말이나 행동이 곱고 우아하다. 또는 얌전하고 점잖다.,
27626,음충-맞다,형용사,성질이 매우 음충한 데가 있다.,비슷한말 암특-하다(暗慝하다)
27627,음충-스럽다,형용사,마음이 음흉하고 불량한 태도나 느낌이 있다.,
27629,음충-하다,형용사,마음이 음흉하고 불량하다.,
28526,응달-지다,형용사,그늘이 져 있다.,
28796,응석-스럽다,형용사,보기에 어른들이 귀여워해 줄 것을 믿고 버릇없이 구는 태도가 있다.,
30292,의뭉-스럽다,형용사,보기에 겉으로는 어리석어 보이나 속으로는 엉큼한 데가 있다.,
30297,의뭉-하다,형용사,겉으로는 어리석은 것처럼 보이면서 속으로는 엉큼하다.,
31540,의젓잖다,형용사,말이나 행동 따위가 점잖지 못하고 가벼운 데가 있다.,참고 어휘 야젓잖다
31543,의젓-하다,형용사,말이나 행동 따위가 점잖고 무게가 있다.,참고 어휘 야젓-하다
34048,이드거니-하다,형용사,충분한 분량으로 만족스럽다.,
34056,이드르르-하다,형용사,번들번들 윤기가 돌고 부드럽다.,준말 이드를-하다
34093,이들이들-하다,형용사,번들번들 윤기가 돌고 부들부들하다.,
34409,이러루-하다,형용사,정도나 형편 따위가 대개 이러하다.,"참고 어휘 고러루-하다, 그러루-하다, 요러루-하다, 저러루-하다, 조러루-하다"
34417,이러이러-하다,형용사,이러하고 이러하다.,"비슷한말 약시약시-하다(若是若是하다), 약차약차-하다(若此若此하다), 여사여사-하다(如斯如斯하다), 여시여시-하다(如是如是하다), 여차여차-하다(如此如此하다)
참고 어휘 고러고러-하다, 그러그러-하다, 요러요러-하다, 저러저러-하다, 조러조러-하다"
34421,이러저러-하다,형용사,이러하고 저러하다.,"참고 어휘 고러조러-하다, 그러저러-하다, 요러조러-하다"
34430,이러-하다,형용사,‘이렇다’의 본말.,"준말 이렇다
참고 어휘 그러-하다, 요러-하다, 저러-하다"
