35495,개코-같다,형용사,(속되게) 하찮고 보잘것없다.,비슷한말 개좆-같다
36850,갭직갭직-하다,형용사,여럿이 다 생각보다 조금 가벼운 듯하다.,
36852,갭직-하다,형용사,생각보다 조금 가벼운 듯하다.,
37463,갱충-맞다,형용사,행동 따위가 조심성이 없고 아둔하다.,비슷한말 갱충-쩍다
37466,갱충-쩍다,형용사,행동 따위가 조심성이 없고 아둔하다.,비슷한말 갱충-맞다
37509,갸르스름-하다,형용사,보기 좋을 정도로 조금 가늘고 긴 듯하다.,비슷한말 갸름-하다
37512,갸륵-하다,형용사,착하고 장하다.,
37518,갸름갸름-하다,형용사,여럿이 다 보기 좋을 정도로 조금 가늘고 긴 듯하다.,
37520,갸름컁컁-하다,형용사,갸름하고 파리하다.,
37521,갸름-하다,형용사,보기 좋을 정도로 조금 가늘고 긴 듯하다.,"비슷한말 갸르스름-하다
참고 어휘 개름-하다, 기름-하다"
37532,갸우듬-하다,형용사,조금 갸운 듯하다.,"참고 어휘 기우듬-하다, 꺄우듬-하다"
37537,갸우뚱갸우뚱-하다,형용사,여럿이 다 한쪽으로 약간 갸울어져 있다.,
37541,갸우뚱-하다,형용사,물체가 한쪽으로 약간 갸울어져 있다.,
37547,갸우스름-하다,형용사,조금 갸울어진 듯하다.,"참고 어휘 기우스름-하다, 꺄우스름-하다"
37556,갸울다,형용사,비스듬하여 한쪽이 조금 낮거나 비뚤다.,참고 어휘 꺄울다
37573,갸웃갸웃-하다,형용사,여럿이 다 한쪽으로 조금 갸울어져 있다.,
37579,갸웃-하다,형용사,한쪽으로 조금 갸울어져 있다.,
37626,걀쭉걀쭉-하다,형용사,여럿이 다 보기 좋을 정도로 조금 길다.,
37629,걀쭉스름-하다,형용사,조금 걀쭉하다.,참고 어휘 길쭉스름-하다
37631,걀쭉-하다,형용사,보기 좋을 정도로 조금 길다.,참고 어휘 길쭉-하다
37634,걀쯔막-하다,형용사,조금 넉넉히 갸름하다.,참고 어휘 길쯔막-하다
37637,걀쯤걀쯤-하다,형용사,여럿이 다 꽤 갸름하다.,
37639,걀쯤-하다,형용사,꽤 갸름하다.,참고 어휘 길쯤-하다
37644,걀찍걀찍-하다,형용사,여럿이 다 길이가 알맞게 긴 듯하다.,
37646,걀찍-하다,형용사,길이가 알맞게 긴 듯하다.,참고 어휘 길찍-하다
37956,거나-하다,형용사,술 따위에 취한 정도가 어지간하다.,준말 건-하다
37982,거년-스럽다,형용사,보기에 몹시 가난하고 어려운 데가 있다.,참고 어휘 가년-스럽다
38008,거늑-하다,형용사,부족함이 없어 마음이 아주 느긋하다.,
38274,거덕거덕-하다,형용사,물기나 풀기가 있는 물체의 거죽이 조금 말라서 뻣뻣하다.,
38276,거덕-치다,형용사,모양 따위가 거칠고 막되어 어울리지 않다.,참고 어휘 꺼덕-치다
38284,거덜거덜-하다,형용사,살림이나 사업 따위가 흔들리어 결딴날 듯이 위태롭다.,
38444,거드럭-스럽다,형용사,보기에 잘난 체하며 거만하게 행동하는 데가 있다.,
38452,거드름-스럽다,형용사,보기에 거만스러운 데가 있다.,
38476,거든거든-하다,형용사,다루기에 여럿이 다 또는 매우 거볍고 간편하거나 손쉽다.,
38483,거든-하다,형용사,다루기에 거볍고 간편하거나 손쉽다.,"참고 어휘 가든-하다, 거뜬-하다"
38938,거령-맞다,형용사,조촐하지 못하여 격에 어울리지 아니하다.,참고 어휘 가량-맞다
38942,거령-스럽다,형용사,조촐하지 못하여 격에 어울리지 아니한 데가 있다.,참고 어휘 가량-스럽다
38968,거룩-하다,형용사,뜻이 매우 높고 위대하다.,
39414,거머누르께-하다,형용사,검은빛을 띠면서 곱지도 짙지도 않게 누르다.,참고 어휘 가마노르께-하다
39444,거머멀쑥-하다,형용사,조금 희미하게 검으면서 지저분함 없이 훤하고 깨끗하다.,"참고 어휘 가마말쑥-하다, 꺼머멀쑥-하다"
39449,거머무트름-하다,형용사,얼굴이 거무스름하고 투실투실하다.,"준말 거무트름-하다
참고 어휘 가마무트름-하다, 꺼머무트름-하다"
39452,거머번드르-하다,형용사,조금 희미하게 검으면서 윤기가 나고 미끄럽다.,"참고 어휘 가마반드르-하다, 꺼머번드르-하다"
39454,거머번지르-하다,형용사,조금 희미하게 검으면서 윤기가 나고 매우 미끄럽다.,"준말 거머번질-하다
참고 어휘 가마반지르-하다, 꺼머번지르-하다"
39461,거머우리-하다,형용사,은은히 도는 빛이 거멓다.,참고 어휘 가마우리-하다
39474,거머푸르레-하다,형용사,조금 거멓고 푸르다.,참고 어휘 가마푸르레-하다
39523,거멓다,형용사,어둡고 엷게 검다.,"참고 어휘 가맣다, 꺼멓다"
39549,거무께-하다,형용사,곱지도 짙지도 않게 검다.,"참고 어휘 가무께-하다, 꺼무께-하다"
39551,거무끄름-하다,형용사,조금 어둡게 거무스름하다.,"참고 어휘 가무끄름-하다, 꺼무끄름-하다"
39557,거무데데-하다,형용사,산뜻하지 못하고 조금 천박하게 거무스름하다.,"참고 어휘 가무대대-하다, 꺼무데데-하다"
39559,거무뎅뎅-하다,형용사,고르지 않게 거무스름하다.,"참고 어휘 가무댕댕-하다, 꺼무뎅뎅-하다"
39564,거무레-하다,형용사,엷게 거무스름하다.,"참고 어휘 가무레-하다, 꺼무레-하다"
39566,거무룩-하다,형용사,조금 거무스름하다.,
39573,거무숙숙-하다,형용사,수수하고 걸맞게 거무스름하다.,"참고 어휘 가무숙숙-하다, 꺼무숙숙-하다"
39579,거무스레-하다,형용사,빛깔이 조금 검은 듯하다.,"비슷한말 거무스름-하다, 거뭇-하다
참고 어휘 가무스레-하다, 꺼무스레-하다"
39581,거무스름-하다,형용사,빛깔이 조금 검은 듯하다.,"비슷한말 거무스레-하다, 거뭇-하다
참고 어휘 가무스름-하다, 꺼무스름-하다"
39591,거무접접-하다,형용사,약간 짙게 거무스름하다.,"참고 어휘 가무잡잡-하다, 꺼무접접-하다"
39593,거무죽죽-하다,형용사,칙칙하고 고르지 않게 거무스름하다.,"참고 어휘 가무족족-하다, 꺼무죽죽-하다"
39600,거무추레-하다,형용사,거무스름하여 깨끗하지 못하다.,
39604,거무충충-하다,형용사,꺼림칙해 보일 정도로 어둠침침하게 거무스름하다.,"참고 어휘 가무총총-하다, 꺼무충충-하다"
39606,거무칙칙-하다,형용사,산뜻하지 않고 짙게 검다.,"참고 어휘 가무칙칙-하다, 꺼무칙칙-하다"
39611,거무튀튀-하다,형용사,너저분해 보일 정도로 탁하게 거무스름하다.,"참고 어휘 가무퇴퇴-하다, 꺼무튀튀-하다"
39619,거무푸리-하다,형용사,검은빛이 돌고 푸르죽죽하다.,
39677,거물거물-하다,형용사,약한 불빛 따위가 사라질 듯 말 듯 흐릿하다.,
39697,거뭇거뭇-하다,형용사,군데군데 거무스름하다.,
39699,거뭇-하다,형용사,빛깔이 조금 검은 듯하다.,"비슷한말 거무스레-하다, 거무스름-하다
참고 어휘 가뭇-하다, 꺼뭇-하다"
39849,거방-지다,형용사,몸집이 크다.,"비슷한말 체대-하다(體大하다)
반대말 체소-하다(體小하다)"
39899,거볍다,형용사,무게가 적다.,참고 어휘 가볍다
39905,거볍디-거볍다,형용사,아주 거볍다.,참고 어휘 가볍디-가볍다
39997,거북살-스럽다,형용사,몹시 거북스럽다.,
40009,거북-스럽다,형용사,보기에 거북한 데가 있다.,
40035,거북-하다,형용사,몸이 찌뿌드드하고 괴로워 움직임이 자연스럽지 못하거나 자유롭지 못하다.,
40042,거분거분-하다,형용사,들기 좋을 정도로 여럿이 다 또는 매우 거볍다.,
40046,거분-하다,형용사,들기 좋을 정도로 거볍다.,"참고 어휘 가분-하다, 거뿐-하다"
40084,거붓거붓-하다,형용사,여럿이 다 조금 거벼운 듯하다.,
40086,거붓-하다,형용사,조금 거벼운 듯하다.,"참고 어휘 가붓-하다, 거뿟-하다"
40270,거세다,형용사,사물의 기세 따위가 몹시 거칠고 세차다.,
40300,거세-차다,형용사,몹시 세차다.,비슷한말 거차다
40427,거슬거슬-하다,형용사,살결이나 물건의 거죽이 매끄럽지 않고 거칠하거나 뻣뻣하다.,
40453,거슴츠레-하다,형용사,졸리거나 술에 취해서 눈이 흐리멍덩하며 거의 감길 듯하다.,비슷한말 게슴츠레-하다
40538,거시시-하다,형용사,눈이 맑지 아니하고 침침하다.,
40602,거식-하다,형용사,"말하는 중에 표현하려는 형용사가 얼른 생각이 나지 않거나 바로 말하기 곤란할 때에, 그 대신으로 쓰는 말.",
40769,거엽-스럽다,형용사,큼직하고 너그럽고 꿋꿋하다.,
40796,거우듬-하다,형용사,조금 기울어진 듯하다.,비슷한말 거욷-하다
40813,거욷-하다,형용사,조금 기울어진 듯하다.,비슷한말 거우듬-하다
41511,거짓-되다,형용사,사실과 어긋남이 있어 참되지 않다.,반대말 참-되다
41647,거짓-스럽다,형용사,보기에 거짓을 부리는 태도가 있다.,
41771,거차다,형용사,크고 세차다.,비슷한말 거세-차다
41857,거추-없다,형용사,하는 짓이 어울리지 않고 싱겁다.,
41859,거추장-스럽다,형용사,물건이 크거나 무거워 다루기가 어렵고 불편하다.,
41941,거치스름-하다,형용사,조금 거칠다.,
42027,거칠거칠-하다,형용사,여러 군데가 몹시 윤기가 없고 거칠다.,
42034,거칠다,형용사,나무나 살결 따위가 결이 곱지 않고 험하다.,
42048,거칠디-거칠다,형용사,더할 나위 없이 거칠다.,
42056,거칠-하다,형용사,여위거나 메말라 살갗이나 털이 윤기가 없고 거칠다.,"참고 어휘 가칠-하다, 꺼칠-하다"
42063,거침-없다,형용사,일이나 행동 따위가 중간에 걸리거나 막힘이 없다.,
42074,거칫거칫-하다,형용사,살갗이나 털 따위가 여위거나 메말라 윤기가 없이 몹시 거칠다.,"참고 어휘 가칫가칫-하다, 꺼칫꺼칫-하다"
42078,거칫-하다,형용사,살갗이나 털 따위가 여위거나 메말라 윤기가 없이 거칠다.,"참고 어휘 가칫-하다, 꺼칫-하다"
42081,거쿨-스럽다,형용사,보거나 듣기에 거쿨진 데가 있다.,
42083,거쿨-지다,형용사,몸집이 크고 말이나 하는 짓이 씩씩하다.,
42334,거풋-하다,형용사,품새가 매우 가볍다.,
42365,거-하다,형용사,산 따위가 크고 웅장하다.,
42472,걱-세다,형용사,몸이 굳고 억세다.,
42480,걱실걱실-하다,형용사,성질이 너그러워 말과 행동이 시원스럽다.,
42503,걱정-스럽다,형용사,걱정이 되어 마음이 편하지 않은 데가 있다.,"비슷한말 가려-하다(可慮하다), 근심-스럽다, 염려-스럽다(念慮스럽다)"
42772,건건찝찔-하다,형용사,약간 짜기만 하고 감칠맛이 없다.,참고 어휘 간간짭짤-하다
42776,건건-하다,형용사,감칠맛 없이 조금 짜다.,참고 어휘 간간-하다
43298,건둥건둥-하다,형용사,여럿이 다 또는 흐트러짐이 없이 매우 정돈되어 시원스럽게 훤하다.,
43302,건둥-하다,형용사,흐트러짐이 없이 정돈되어 시원스럽게 훤하다.,"참고 어휘 간동-하다, 껀둥-하다"
43304,건드러-지다,형용사,목소리나 맵시 따위가 아름다우며 멋들어지게 부드럽고 가늘다.,참고 어휘 간드러-지다
43321,건드레-하다,형용사,술 따위에 거나하게 취하여 정신이 흐릿하다.,"참고 어휘 곤드레-하다, 곤드레만드레-하다"
43706,건방-지다,형용사,잘난 체하며 지나치게 주제넘다.,
44050,건성드뭇-하다,형용사,비교적 많은 수효의 것이 듬성듬성 흩어져 있다.,
45319,건-하다,형용사,아주 넉넉하다.,
45536,걸걸-하다,형용사,목소리가 좀 쉰 듯하면서 우렁차고 힘이 있다.,
45573,걸-굳다,형용사,거칠고 굳다.,
45646,걸까리-지다,형용사,사람의 몸이 크고 실팍하다.,
45666,걸다,형용사,흙이나 거름 따위가 기름지고 양분이 많다.,비슷한말 옥유-하다(沃腴하다)
45692,걸-다랗다,형용사,다른 물질과 섞인 액체가 물기가 적어 된 듯하다.,
45908,걸-맞다,형용사,두 편을 견주어 볼 때 서로 어울릴 만큼 비슷하다.,
46026,걸-싸다,형용사,일이나 동작 따위가 매우 날쌔다.,
46036,걸쌈-스럽다,형용사,보기에 남에게 지려고 하지 않고 억척스러운 데가 있다.,
46039,걸쌍-스럽다,형용사,보기에 일솜씨가 뛰어나거나 먹음새가 좋아서 탐스러운 데가 있다.,
46238,걸직걸직-하다,형용사,행동이 힘차고 시원하다.,
46267,걸쩍지근-하다,형용사,다소 푸짐하고 배부르다.,
46273,걸쭉-하다,형용사,액체가 묽지 않고 꽤 걸다.,"참고 어휘 갈쭉-하다, 껄쭉-하다"
46285,걸-차다,형용사,땅 따위가 매우 기름지다.,
46391,걸판-지다,형용사,매우 푸지다.,비슷한말 거방-지다
46516,검-누렇다,형용사,검은빛을 약간 띠면서 누렇다.,"비슷한말 검-누르다
참고 어휘 감-노랗다"
46517,검-누르다,형용사,검은빛을 띠면서 누르다.,"비슷한말 검-누렇다
참고 어휘 감-노르다"
46521,검다,형용사,숯이나 먹의 빛깔과 같이 어둡고 짙다.,"반대말 희다
참고 어휘 감다, 껌다"
46607,검디-검다,형용사,더할 나위 없이 검다.,
46681,검-묽다,형용사,약간 흐릿하게 검다.,
46770,검불그스름-하다,형용사,검은빛을 띠면서 조금 붉다.,
46792,검-붉다,형용사,검은빛을 띠면서 붉다.,
46803,검-뿌옇다,형용사,검은빛을 조금 띠면서 뿌옇다.,
47102,검-세다,형용사,성질이 질기고 억세다.,비슷한말 검-질기다
47152,검숭검숭-하다,형용사,잔털 따위가 드물게 나서 꽤 거무스름하다.,
47153,검숭-하다,형용사,잔털 따위가 드물게 나서 거무스름하다.,
47202,검실검실-하다,형용사,군데군데 약간 거무스름하다.,
47205,검실북실-하다,형용사,거뭇거뭇 복스럽게 빛나는 데가 있다.,
47212,검-쓰다,형용사,맛이 비위에 거슬리도록 몹시 거세고 쓰다.,
47654,검적검적-하다,형용사,검은 점이나 얼룩이 굵게 여기저기 박혀 있다.,
47908,검-질기다,형용사,성질이나 행동이 몹시 끈덕지고 질기다.,비슷한말 검-세다
47921,검-차다,형용사,성질이 끈질기고 세차다.,
48027,검측-스럽다,형용사,검은빛을 띠며 어둡고 맑지 않은 데가 있다.,
48035,검측측-하다,형용사,(비유적으로) 음침하고 욕심이 매우 많다.,비슷한말 검측-하다
48037,검측-하다,형용사,검은빛을 띠며 어둡고 맑지 않다.,
48114,검-퍼렇다,형용사,검은빛을 띠면서 퍼렇다.,참고 어휘 감-파랗다
48124,검-푸르다,형용사,검은빛을 띠면서 푸르다.,참고 어휘 감-파르다
48126,검푸르접접-하다,형용사,검은빛을 띠면서 약간 짙게 푸르스름하다.,"참고 어휘 감파르잡잡-하다, 감푸르잡잡-하다"
48128,검푸르죽죽-하다,형용사,검은빛을 띠면서 칙칙하고 고르지 않게 푸르다.,참고 어휘 감파르족족-하다
48436,겅둥-하다,형용사,"입은 옷이, 아랫도리나 속옷이 드러날 정도로 매우 짧다.","참고 어휘 강동-하다, 껑둥-하다, 껑뚱-하다"
48451,겅성드뭇-하다,형용사,많은 수효가 듬성듬성 흩어져 있다.,
48809,겉-약다,형용사,겉으로는 약은 체하지만 실상은 어리석다.,
48815,겉-여물다,형용사,사람이 속으로는 무르나 겉보기에는 올차고 여무지다.,
49037,게걸-스럽다,형용사,몹시 먹고 싶거나 하고 싶은 욕심에 사로잡힌 듯하다.,비슷한말 걸신-스럽다(乞神스럽다)
49052,게검-스럽다,형용사,음식을 욕심껏 먹어 대는 꼴이 보기에 매우 흉하다.,참고 어휘 개감-스럽다
49063,게게-하다,형용사,눈동자가 총기가 없고 흐리다.,
49649,게슴츠레-하다,형용사,졸리거나 술에 취해 눈빛이 멍해지고 눈이 반쯤 감기다.,비슷한말 거슴츠레-하다
49753,게염-스럽다,형용사,보기에 부러워하며 시샘하여 탐내는 마음이 있다.,참고 어휘 개염-스럽다
49852,게으르다,형용사,행동이 느리고 움직이거나 일하기를 싫어하는 성미나 버릇이 있다.,"준말 게르다
반대말 부지런-하다
참고 어휘 개으르다"
,어휘,품사,뜻풀이,관련 어휘
1723,시-건드러지다,형용사,시큰둥하게 건드러지다.,
1726,시건방-지다,형용사,시큰둥하게 건방지다.,
1893,시골-스럽다,형용사,보기에 시골의 분위기와 같은 데가 있다.,
2082,시굼시굼-하다,형용사,여럿이 다 깊은 맛이 있게 조금 시다.,
2090,시굼-하다,형용사,깊은 맛이 있게 조금 신 맛이 있다.,"참고 어휘 새곰-하다, 시쿰-하다"
2201,시그무레-하다,형용사,깊은 맛이 있게 조금 신 듯하다.,"참고 어휘 새그무레-하다, 시크무레-하다"
2241,시근-하다,형용사,관절 따위가 시다.,
2249,시글시글-하다,형용사,사람이나 짐승 따위가 많이 모여 우글우글 들끓어 시끄럽다.,
2264,시금떨떨-하다,형용사,맛이나 냄새 따위가 조금 시면서도 떫다.,참고 어휘 시금털털-하다
2275,시금시금-하다,형용사,여럿이 다 깊은 맛이 있게 조금 신 맛이나 냄새가 있다.,
2278,시금씁쓸-하다,형용사,맛이 조금 시면서 쓰다.,참고 어휘 시큼씁쓸-하다
2303,시금털털-하다,형용사,어떤 일이나 말이 실망스럽고 못마땅하다.,
2310,시금-하다,형용사,맛이나 냄새 따위가 깊은 맛이 있게 조금 시다.,"참고 어휘 새금-하다, 시큼-하다"
2406,시-꺼멓다,형용사,매우 꺼멓다.,"반대말 시-허옇다
참고 어휘 새-까맣다, 시-커멓다"
2437,시끄럽다,형용사,소리가 지나치게 커서 듣기 싫다.,비슷한말 듣그럽다
2456,시끌벅적-하다,형용사,많은 사람들이 어수선하게 움직이며 떠들어 시끄럽다.,
2458,시끌뻑적지근-하다,형용사,(속되게) 몹시 시끄럽다.,
2462,시끌시끌-하다,형용사,몹시 시끄럽다.,
2780,시다,형용사,맛이 식초나 설익은 살구와 같다.,
3096,시드럭부드럭-하다,형용사,꽃이나 풀 따위가 시들고 말라서 윤기가 없고 거칠다.,준말 시득부득-하다
3098,시드럭시드럭-하다,형용사,꽃이나 풀 따위가 시들고 말라서 생기가 없고 거칠다.,준말 시득시득-하다
3133,시들-마르다,형용사,시들어 마르다.,
3136,시들먹-하다,형용사,시들한 기운이 있어 보이다.,
3143,시들부들-하다,형용사,약간 시들어 생기가 없고 부드럽다.,
3146,시들-스럽다,형용사,좀 시들한 느낌이 있다.,
3148,시들시들-하다,형용사,약간 시들어 힘이 없다.,
3152,시들-하다,형용사,풀이나 꽃 따위가 시들어서 생기가 없다.,
3195,시디-시다,형용사,맛이 몹시 시다.,
3272,시뜻-하다,형용사,마음이 내키지 않아 시들하다.,
3594,시름-겹다,형용사,못 견딜 정도로 시름이 많다.,
3598,시름-맞다,형용사,매우 시름에 겹다.,
3605,시름-없다,형용사,근심과 걱정으로 맥이 없다.,
3632,시리다,형용사,몸의 한 부분이 찬 기운으로 인해 추위를 느낄 정도로 차다.,
3745,시릿-하다,형용사,조금 시린 듯하다.,
3787,시망-스럽다,형용사,몹시 짓궂은 데가 있다.,
3802,시-먹다,형용사,버릇이 못되게 들어 남의 말을 듣지 않는 경향이 있다.,
3986,시무룩-하다,형용사,마음에 못마땅하여 말이 없고 얼굴에 언짢은 기색이 있다.,"참고 어휘 새무룩-하다, 씨무룩-하다"
4610,시-붉다,형용사,매우 붉다.,
4764,시-뻘겋다,형용사,매우 뻘겋다.,참고 어휘 새-빨갛다
4771,시-뿌옇다,형용사,아주 뿌옇다.,참고 어휘 새-뽀얗다
4773,시쁘다,형용사,마음에 차지 아니하여 시들하다.,
4776,시쁘둥-하다,형용사,마음에 차지 아니하여 아주 시들한 기색이 있다.,
4780,시쁘장-스럽다,형용사,마음에 차지 아니하여 시들한 데가 있다.,
4782,시쁘장-하다,형용사,마음에 차지 아니하여 조금 시들하다.,
5094,시서느렇다,형용사,음식 따위가 식어서 매우 차다.,비슷한말 시서늘-하다
5096,시서늘-하다,형용사,음식 따위가 식어서 매우 차다.,비슷한말 시서느렇다
5175,시설-궂다,형용사,성질이 차분하지 못하여 말이나 행동이 매우 부산하다.,참고 어휘 새살-궂다
5191,시설-맞다,형용사,성질이 차분하지 못하고 수다스러워 실없이 수선 부리기를 좋아하는 태도가 있다.,"참고 어휘 새살-맞다, 새실-맞다"
5213,시설-스럽다,형용사,성질이 차분하지 못하여 말이나 행동이 매우 부산한 데가 있다.,"참고 어휘 새살-스럽다, 새실-스럽다"
5875,시시껄렁-하다,형용사,신통한 데가 없이 하찮고 꼴답잖다.,
5984,시시콜콜-하다,형용사,마음씨나 하는 짓이 좀스럽고 인색하다.,
5993,시시풍덩-하다,형용사,시시하고 실답지 아니하다.,
5997,시시-하다,형용사,신통한 데가 없고 하찮다.,
7161,시원섭섭-하다,형용사,한편으로는 답답한 마음이 풀리어 흐뭇하고 가뿐하나 다른 한편으로는 섭섭하다.,
7166,시원-스럽다,형용사,덥거나 춥지 아니하고 알맞게 서늘한 듯하다.,
7188,시원시원-하다,형용사,말이나 행동 따위가 흐뭇하고 가뿐한 느낌이 들 정도로 막힘이 없다.,
7207,시원찮다,형용사,마음에 흡족하지 아니하다.,"준말 션찮다
비슷한말 불만-하다(不滿하다), 불만족-하다(不滿足하다)"
7214,시원-하다,형용사,덥거나 춥지 아니하고 알맞게 서늘하다.,
7863,시장-하다,형용사,배가 고프다.,
8325,시지근-하다,형용사,음식 따위가 쉬어서 맛이나 냄새가 조금 시금하다.,비슷한말 시척지근-하다
8501,시척지근-하다,형용사,음식이 쉬어서 비위에 거슬릴 정도로 맛이나 냄새 따위가 시다.,"준말 시치근-하다
비슷한말 시지근-하다
참고 어휘 새척지근-하다"
8725,시치름-하다,형용사,시치미를 떼고 꽤 태연한 태도로 있다.,참고 어휘 새치름-하다
8765,시침-하다,형용사,"자기가 하고도 아니한 체, 알고도 모르는 체를 하며 태연한 태도로 있다.",
8955,시크름-하다,형용사,하는 짓이 썩 마음에 달갑지 아니하다.,
8985,시큰둥-하다,형용사,말이나 행동이 주제넘고 건방지다.,
9109,시큼씁쓸-하다,형용사,맛이 조금 시면서 쓰다.,참고 어휘 시금씁쓸-하다
9112,시큼털털-하다,형용사,말이나 행동이 구수하면서도 텁텁하다.,
9210,시퉁머리-스럽다,형용사,‘시퉁스럽다’를 속되게 이르는 말.,
9212,시퉁-스럽다,형용사,보기에 하는 짓이 주제넘고 건방진 데가 있다.,
9214,시퉁-하다,형용사,하는 짓이 주제넘고 건방지다.,
9427,시-퍼렇다,형용사,매우 퍼렇다.,참고 어휘 새-파랗다
9486,시-푸르다,형용사,매우 푸르다.,
9488,시푸르뎅뎅-하다,형용사,고르지 아니하게 매우 푸르스름하다.,
9492,시푸르죽죽-하다,형용사,칙칙하고 고르지 아니하게 매우 푸르스름하다.,
9779,시-허옇다,형용사,매우 허옇다.,"반대말 시-꺼멓다
참고 어휘 새-하얗다"
13582,신둥-부러지다,형용사,지나치게 주제넘다.,비슷한말 신둥-지다
13583,신둥-지다,형용사,지나치게 주제넘다.,비슷한말 신둥-부러지다
13984,신명-지다,형용사,흥이 나서 멋들어지다.,
17192,신청부-같다,형용사,근심 걱정이 너무 많아서 사소한 일을 돌아볼 여유가 없다.,
18780,실긋샐긋-하다,형용사,여럿이 다 한쪽으로 비뚤어지거나 쏠려 있다.,
18784,실긋실긋-하다,형용사,여럿이 다 한쪽으로 비뚤어지거나 기울어져 있다.,
18787,실긋-하다,형용사,여럿이 다 한쪽으로 비뚤어지거나 기울어져 있다.,
18835,실기죽-하다,형용사,물체가 한쪽으로 약간 기울어지거나 비뚤어져 있다.,
18878,실낱-같다,형용사,아주 가늘다.,
19118,실뚱머룩-하다,형용사,마음에 내키지 아니하여 덤덤하다.,
19654,실미적지근-하다,형용사,음식 따위가 식어서 더운 기운이 조금 있는 듯하다.,"비슷한말 실미지근-하다, 실미직근-하다"
19657,실미지근-하다,형용사,더운 기운이 조금 있는 듯 마는 듯하다.,"비슷한말 실미적지근-하다, 실미직근-하다"
19662,실미직근-하다,형용사,조금 더운 기운이 있는 듯하다.,"비슷한말 실미적지근-하다, 실미지근-하다"
20298,실쌈-스럽다,형용사,말이나 행실이 부지런하고 착실한 데가 있다.,
21173,실쭉실쭉-하다,형용사,여럿이 다 마음에 차지 아니하여서 약간 고까워하는 데가 있다.,
21178,실쭉-하다,형용사,마음에 차지 아니하여서 약간 고까워하는 데가 있다.,
21406,실큼-하다,형용사,싫은 생각이 있다.,
21479,실팍-지다,형용사,사람이나 물건 따위가 보기에 매우 실한 데가 있다.,
21480,실팍-하다,형용사,사람이나 물건 따위가 보기에 매우 실하다.,
22045,싫다,형용사,마음에 들지 아니하다.,비슷한말 밉다
22441,심드렁-하다,형용사,마음에 탐탁하지 아니하여서 관심이 거의 없다.,
23377,심심찮다,형용사,드물지 않고 꽤 잦다.,
23385,심심-하다,형용사,하는 일이 없어 지루하고 재미가 없다.,
25491,싯-누렇다,형용사,매우 누렇다.,참고 어휘 샛-노랗다
25514,싯-멀겋다,형용사,보다 진하고 선뜻하게 멀겋다.,참고 어휘 샛-말갛다
25621,싱검털털-하다,형용사,싱겁고 소탈하며 수수하다.,
25627,싱겁다,형용사,음식의 간이 보통 정도에 이르지 못하고 약하다.,반대말 짜다
25635,싱겅싱겅-하다,형용사,방이 차고 서늘하다.,
25655,싱그럽다,형용사,싱싱하고 맑은 향기가 있다. 또는 그런 분위기가 있다.,
25887,싱둥싱둥-하다,형용사,본디의 기운이 그대로 남아 있어 싱싱하다.,
25891,싱둥-하다,형용사,싱싱하게 생기가 있다.,
25901,싱숭생숭-하다,형용사,마음이 들떠서 갈팡질팡하고 어수선하다.,
25903,싱숭-하다,형용사,마음이 안정되지 않고 뒤숭숭하다.,
25909,싱싱-하다,형용사,시들거나 상하지 아니하고 생기가 있다.,"참고 어휘 생생-하다, 씽씽-하다"
26133,싸느랗다,형용사,사람의 성격이나 태도 따위가 약간 차가운 듯하다.,참고 어휘 써느렇다
26155,싸다,형용사,걸음이 재빠르다.,반대말 뜨다
26532,싸-하다,형용사,혀나 목구멍 또는 코에 자극을 받아 아린 듯한 느낌이 있다.,
26591,싹수-없다,형용사,장래성이 없다.,비슷한말 싹-없다
26610,싹싹-하다,형용사,눈치가 빠르고 사근사근하다.,참고 어휘 썩썩-하다
26620,싹-없다,형용사,장래성이 없다.,비슷한말 싹수-없다
26975,쌀쌀-맞다,형용사,성격이나 행동이 따뜻한 정이나 붙임성이 없이 차갑다.,
26977,쌀쌀-스럽다,형용사,사람의 성격이나 행동이 정다운 맛이 없고 차가운 듯하다.,
26978,쌀쌀-하다,형용사,날씨나 바람 따위가 음산하고 상당히 차갑다.,"비슷한말 냉랭-하다(冷冷하다)
참고 어휘 쓸쓸-하다"
27118,쌈박-하다,형용사,물건이나 어떤 대상이 시원스럽도록 마음에 들다.,
27189,쌉싸래-하다,형용사,조금 쓴 맛이 있는 듯하다.,"비슷한말 쌉싸름-하다
참고 어휘 씁쓰레-하다"
27193,쌉싸름-하다,형용사,조금 쓴 맛이 있는 듯하다.,비슷한말 쌉싸래-하다
27197,쌉쌀-하다,형용사,조금 쓴 맛이 있다.,참고 어휘 씁쓸-하다
27413,쌍그렇다,형용사,찬 바람이 불 때 베옷이나 여름옷 따위를 입은 모양이 매우 쓸쓸하고 어설프다.,
28290,쌍콤-하다,형용사,보기에 느낌이 꽤 산뜻하고 시원스럽다.,
28522,쌔물-스럽다,형용사,어울리지 않고 따로 떨어진 듯하다.,
28858,쌩-하다,형용사,바람이 세차게 스쳐 지나가는 소리가 나는 듯하다.,
28956,써느렇다,형용사,사람의 성격이나 태도 따위가 차가운 듯하다.,참고 어휘 싸느랗다
29137,썩썩-하다,형용사,눈치가 빠르고 서근서근하다.,참고 어휘 싹싹-하다
29271,썰렁-하다,형용사,있어야 할 것이 없어 어딘가 빈 듯한 느낌이 있다.,
